id,comment,comment_ko
402,Warming everyday scent for colder months,추운 계절에 어울리는 따뜻한 데일리 향
403,Delicate musky base,섬세한 머스크 향을 베이스로
404,Sophisticated sweet fragrance,세련되고 달콤한 향기
405,Gorgeous bottle design,아름다운 병 디자인
406,"Mellow, grown-up gourmand with dignity",온화하고 품격 있는 성숙한 미식가
407,Good quality candy-like smell,좋은 품질의 사탕 같은 향
408,Brilliant gourmand that smells edible,먹음직스러운 향이 나는 훌륭한 구르망 향수
409,Yves Saint Laurent,이브 생 로랑
410,Versatile and modern scent,다재다능하고 모던한 향
411,Strong and long-lasting,강하고 오래 지속됩니다
412,Loved by many,많은 사람들에게 사랑받는
413,No-brainer perfume for any occasion,"어떤 상황에도 어울리는, 고민할 필요 없는 향수"
414,Great projection and longevity,뛰어난 발색력과 지속력
415,Compliment getter,칭찬을 받는 사람
416,"Attractive, sweet musky dry down",매력적이고 달콤한 머스크 향이 은은하게 남는 잔향
417,Donna Karan,도나 카란
418,"Nice, fresh spring/summer fragrance",산뜻하고 기분 좋은 봄/여름 향기
419,Juicy apple and white flowers scent,즙이 많은 사과와 흰 꽃 향기
420,Suitable for warm summer nights out,따뜻한 여름밤 외출에 적합합니다.
421,Uncomplicated and office safe,간단하고 사무실에 적합합니다.
422,Perfect for many occasions and all ages,다양한 상황과 모든 연령대에 적합합니다.
423,Long-lasting and leaves a delicious trail,오래 지속되며 맛있는 흔적을 남깁니다.
424,Good as a gift,선물로 좋습니다
425,"Dark, seductive, and unusual aroma","어둡고, 매혹적이며, 독특한 향기"
426,Classic and timeless fragrance,클래식하고 시대를 초월하는 향
427,Expertly blended notes,전문적으로 블렌딩된 향
428,Excellent sillage and longevity,뛰어난 확산력과 지속력
429,Great for special occasions,특별한 날에 딱 좋아요
430,Nostalgic and comforting scent,향수를 불러일으키고 마음을 편안하게 해주는 향
431,Variety of concentrations available,다양한 농도 선택 가능
432,Suitable for both men and women,남녀 모두에게 적합합니다
433,Giorgio Armani,조르지오 아르마니
434,It has a refreshing and cooling effect.,상쾌하고 시원한 효과가 있습니다.
435,This is a great scent for summer.,이 향은 여름에 딱이에요.
436,The fragrance has uplifting and energetic qualities.,이 향기는 기분을 좋게 하고 활력을 불어넣는 효과가 있습니다.
437,"It has a strong, fresh aquatic nature but no stingy or sharp notes.","강렬하고 신선한 수생 향이 나지만, 자극적이거나 날카로운 향은 없습니다."
438,It is a great alternative to other citrus fragrances such as Light Blue.,라이트 블루와 같은 다른 시트러스 계열 향수의 훌륭한 대안입니다.
439,The scent is harmonious on skin and surrounds the wearer with the beauty of nature.,"이 향은 피부에 조화롭게 어우러지며, 착용자를 자연의 아름다움으로 감싸줍니다."
440,The longevity and performance are moderate.,수명과 성능은 보통 수준입니다.
441,Top quality perfume,최고급 향수
442,Lasts a long time,오래 지속됩니다
443,Exotic and unique fragrance,이국적이고 독특한 향기
444,"Mysterious, complex, and hypnotic","신비롭고, 복잡하며, 최면을 거는 듯한"
445,"Warm, spicy, and not overly sweet","따뜻하고, 매콤하고, 지나치게 달지 않은"
446,Potent aphrodisiac for some,일부 사람들에게는 강력한 최음제
447,A signature perfume for many,많은 사람들에게 사랑받는 시그니처 향수
448,Dominant notes of sandalwood and Queen of the Night flowers,샌달우드와 밤의 여왕 꽃의 향이 두드러지게 나타납니다.
449,Yves Saint Laurent,이브 생 로랑
450,"Confident, not manly","자신감 넘치지만, 남성적이지는 않다."
451,Exceptional longevity,탁월한 장수
452,"Becomes beauty and feminine, soft and warm","아름다움과 여성스러움, 부드럽고 따뜻한 느낌을 자아냅니다."
453,"Soft, warm and mixes perfectly with personal chemistry",부드럽고 따뜻하며 개인의 체취와 완벽하게 어우러집니다.
454,Gets richer and lovelier with time,시간이 흐를수록 더욱 풍성하고 아름다워집니다.
455,Lovely vanilla and orange blossom fragrance,사랑스러운 바닐라와 오렌지 꽃 향기
456,Delicate floral with no loudness or clich횄짤,과하지 않고 진부하지 않은 섬세한 꽃향기
457,Issey Miyake,이세이 미야케
458,Clean and timeless scent,깨끗하고 오래도록 변치 않는 향
459,Great for daytime occasions,낮 시간에 사용하기 좋습니다
460,Blast of fresh energy,신선한 에너지의 폭발
461,Unique with yuzuu note,유즈 노트로 독특한 매력을 지닌
462,Fresh soapy feel,산뜻하고 비누 향이 나는 느낌
463,Insane longevity for a fresh fragrance,놀라운 지속력으로 산뜻한 향을 오래 유지해줍니다.
464,Long lasting,오래 지속되는
465,Elegant and feminine scent,우아하고 여성스러운 향
466,Attractive and alluring to some,어떤 이들에게는 매력적이고 유혹적이다
467,Comforting and calming fragrance,편안하고 차분한 향기
468,Sweet and lingering fragrance,달콤하고 오래 지속되는 향기
469,Versatile for any occasion and season,어떤 상황과 계절에도 잘 어울리는 다재다능한 제품입니다.
470,Good value for money,가격 대비 성능이 좋습니다
471,Evocative and brings back good memories,감동적이고 좋은 추억을 떠올리게 합니다.
472,Universally appealing,누구나 좋아할 만한
473,Giorgio Armani,조르지오 아르마니
474,Suitable for work and formal occasions,직장 및 공식적인 자리에 적합합니다.
475,Masculine fragrance with timeless appeal,시대를 초월하는 매력을 지닌 남성 향수
476,Instant classic and worth buying,명작으로 손꼽히며 구매할 가치가 충분합니다.
477,"Fresh, clean and confident scent",산뜻하고 깨끗하며 자신감 넘치는 향
478,Super versatile for every occasion and season,어떤 상황이나 계절에도 활용하기 좋은 다재다능한 아이템입니다.
479,Great flanker to add to the collection,컬렉션에 추가하기에 훌륭한 플랭커입니다.
480,Good improvement over the original AdG,기존 AdG보다 훨씬 개선되었습니다.
481,Fresh and floral scent perfect for summer,여름에 딱 어울리는 산뜻하고 은은한 꽃향기
482,Sporty and fresh scent with hints of lemon,레몬 향이 은은하게 감도는 스포티하고 산뜻한 향
483,Comfortable to wear,착용감이 편안합니다
484,Feels like a fresh woods or garden,마치 신선한 숲이나 정원에 온 것 같은 느낌이 듭니다.
485,Well blended notes create a new and singular aroma,조화롭게 어우러진 향들이 새롭고 독특한 향을 만들어냅니다.
486,Pleasant projection,쾌적한 투영
487,Good longevity,좋은 장수
488,Scent evokes happy memories,향기는 행복한 추억을 떠올리게 한다
489,Gorgeous bottle design,아름다운 병 디자인
490,Enjoyable fragrance,기분 좋은 향기
491,Suitable for women of all ages,모든 연령대의 여성에게 적합합니다.
492,Not too sweet,너무 달지 않게
493,Clean and fresh scent,깨끗하고 산뜻한 향
494,Great for transitioning from younger to mature fragrances,젊은 감각의 향수에서 성숙한 향으로 넘어가는 데 아주 좋습니다.
495,Suitable for all occasions,모든 상황에 적합합니다
496,Long-lasting,오래 지속되는
497,Great for lovers of retro powder or baby powder scents,레트로한 파우더 향이나 베이비파우더 향을 좋아하는 분들에게 딱 좋습니다.
498,"Tender, delicate, and feminine scent",부드럽고 섬세하며 여성스러운 향
499,Clean and powdery drydown,깨끗하고 파우더리한 마무리
500,Balanced and well-blended powdery scent,균형 잡히고 조화로운 파우더리 향
501,Unique and complex scent,독특하고 복합적인 향
502,Lasts over 8 hours with moderate projection,적당한 분사력으로 8시간 이상 지속됩니다.
503,"Embodies purity, tenderness, and warmth","순수함, 부드러움, 그리고 따뜻함을 구현합니다."
504,Phenomenal combination of rose and violet,장미와 제비꽃의 환상적인 조합
505,Britney Spears,브리트니 스피어스
506,Affordable price point,합리적인 가격대
507,Suitable for casual dates and everyday wear,캐주얼한 데이트와 일상복에 적합합니다.
508,Popular fragrance that is recognizable,누구나 알아볼 수 있는 인기 향수
509,"Sweet, sensual, warm, gourmandy and floriental scent",달콤하고 관능적이며 따뜻하고 풍부한 플로리엔탈 향
510,Adorable packaging design,사랑스러운 포장 디자인
511,Long-lasting scent,오래 지속되는 향기
512,Suitable for all ages,모든 연령대에 적합합니다
513,Giorgio Armani,조르지오 아르마니
514,Orangey goodness with warm vanilla and honey,"오렌지의 상큼함과 따뜻한 바닐라, 꿀이 어우러진 맛"
515,Easygoing yet mysterious,느긋하면서도 신비로운
516,Great for expressing femininity,여성스러움을 표현하기에 아주 좋습니다
517,Fun yet sexy fragrance,재미있으면서도 섹시한 향수
518,Perfect signature scent,완벽한 시그니처 향
519,Confident and authoritative evening scent,자신감 넘치고 권위 있는 저녁 향수
520,"Deep, dark, sensual perfume",깊고 어둡고 관능적인 향수
521,Combines lavender and vanilla beautifully,라벤더와 바닐라의 조화가 아름답습니다.
522,All the notes blend perfectly,모든 음표가 완벽하게 조화를 이룹니다.
523,Makes person feel calm and happy,사람을 차분하고 행복하게 만들어준다
524,"Warm, fluffy, powdery and slightly sweet scent",따뜻하고 포근하며 파우더리하고 은은하게 달콤한 향
525,Creates an aura of sweet creamy vanillalavender,달콤하고 크리미한 바닐라 라벤더 향을 만들어냅니다.
526,Sheer sophistication,순수한 세련미
527,Lovely vanilla fragrance,사랑스러운 바닐라 향
528,Has a burnt vanilla aroma,탄 바닐라 향이 납니다.
529,"Superb for cold and warm weather, day or night, work or play","추운 날씨든 따뜻한 날씨든, 낮이든 밤이든, 일이든 여가든 언제 어디서나 훌륭한 선택입니다."
530,Great fragrance for those not fully into fragrances and want something versatile,향수에 크게 관심이 없거나 다용도로 사용할 수 있는 향을 원하는 사람들에게 좋은 향수입니다.
531,"Popular fragrance, widely available",널리 판매되는 인기 향수
532,Chanel is a worldwide phenomenon with quality and distribution control,샤넬은 품질과 유통 관리를 철저히 하는 세계적인 브랜드입니다.
533,Bigger compliment-getter than the original,원본보다 더 많은 칭찬을 받는 제품
534,"Mystique factor, Chanel couture experience, mantle of discovery and alluring","신비로운 분위기, 샤넬 오뜨 꾸뛰르 경험, 발견의 망토, 그리고 매혹적인 매력"
535,Long-lasting scent (10 hours),향기가 오래 지속됩니다 (10시간)
536,"Reminiscent and nostalgic, reminds of a loved one","추억을 떠올리게 하고 향수를 불러일으키며, 사랑하는 사람을 생각나게 합니다."
